,0,1,2,3,4,5,6,7
0,"3,6",,Simone Bartesaghi,Philip KimNeil Kinsella,"El futuro de Estados Unidos, cuando el mundo se quede sin petróleo.",Acción,1h 41min,Downstream
1,"7,3",,Na Hong-jin,Won-Chan HongNa Hong-jin,"Cuando el intento de matar a un profesor sale mal, se desencadenan una serie de eventos violentos que obligan al taxista a correr por su vida.",Acción,2h 37min,The Yellow Sea
2,"6,7",,Jonathan Lynn,Lucinda Coxon,"Un asesino a sueldo intenta retirarse, pero una hermosa ladrona puede cambiar sus planes.","Acción
Comedia
Crimen",1h 38min,Blanco escurridizo
3,"3,0",,Tom Shell,Jennifer Lee Loy,"When Captain Kyle Fierson's unit is ambushed during a raid to rescue a deadly nuclear device, he must run for his life - not only to track down the missing time bomb, but also to clear his name when he is accused of aiding the terrorists.","Acción
Suspense",1h 38min,Desarmado
4,"4,3",,Kim Sønderholm,Kim Sønderholm,Frank is a police officer who loses his family in a tragedy. In desperation he turns to crime and makes a living as a hitman for the mob.,"Acción
Drama
Suspense",1h 31min,Tour de Force
5,"3,3",,Jordi Llompart,Jordi Llompart,A young girl named Jana takes a magical journey to Africa.,"Aventura
Drama
Familiar",1h 30min,Viaje mágico a África
6,"2,9",,Jeremiah Hundley,Jeremiah Hundley,"""In the deep jungles of South East Asia a blood thirsty mercenary Sebastian, hunts for the thrill of the chase and victims to sell into slavery. In one operation he kills a peaceful local shaman Aroon, and his family. As Sebastian leaves with his catch, Aroon dies... only to come to life the next day. Something has happened to Aroon, a gift to some, but a curse to him... Leer todo","Acción
Crimen
Drama",1h 30min,The Lazarus Papers
7,"3,1",,Ric La Monte,Ric La Monte,"A simple man, Dr. Walter Newman, has high aspirations to cure all disease through genetic manipulation. His obsession with his mission draws him deeper into his own dark world, distracting him from his wife Olivia and from his responsibilities to his patients at the Edgewood Asylum. The doctors loyal but diabolical nurse, Ms. Tinsley, decides to take matters into her ... Leer todo","Acción
Terror
Suspense",1h 36min,The Tenant
8,"4,1",,Tiller Russell,Tiller Russell,A western centered on a woman trying to bring her outlaw lover home for his burial.,"Acción
Drama
Suspense",1h 23min,El Último Rito de Ransom Pride
9,"4,9",,Fouad Mikati,Sam Levinson,A battle ensues among groups of government spy teams in an underground facility after their boss is assassinated.,"Acción
Comedia",1h 27min,Operación: Juego final
10,"5,4",,Brian Levant,Jonathan Bernstein,"El exespía de la CIA, Bob Ho, se enfrenta a su misión más difícil hasta la fecha: cuidar de los tres hijos de su novia, que no se han mostrado exactamente cariñosos con el novio de su madre.","Acción
Comedia
Familiar",1h 34min,El súper canguro
11,"3,6",,Hadi Abrar,KumaarReshu NathKrupasagar Sridharan,"While playing a video game on TV, school-children are mysteriously transported to a prehistoric island.",Acción,2h,Ramaa: The Saviour
