,0,1,2,3,4,5,6,7
0,"6,9",,Emmanuel Carrère,Florence Aubenas,"La periodista francesa Florence Aubenas investiga la creciente precariedad en la sociedad francesa, a través de sus experiencias en la ciudad portuaria de Caen, en el norte del país.",Drama,1h 46min,En un muelle de Normandía
1,"7,1",,Joel Coen,Joel Coen,"Un lord escocés es convencido por un trío de brujas de que se convertirá en el próximo Rey de Escocia, mientras tanto, su ambiciosa esposa, lo apoya en sus planes para tomar el poder.","Drama
Misterio
Suspense",1h 45min,La tragedia de Macbeth
2,"5,4",,Leste Chen,Qiao Shu,"A story that follows a family of four leading harmonious and contented lives. When a mysterious visitor starts residing in their basement, their lives are turned upside down as strange events begin to occur.","Drama
Misterio
Suspense",1h 50min,Mi mi fang ke
3,"6,5",,Nabil Ben Yadir,Nabil Ben YadirAntoine Cuypers,"Brahim es un joven, la alegría de su madre. Un día encontrará al amor de su vida. Se convertirá en un hombre de familia, hará que todos se sientan orgullosos. Un día será maduro y realizado. Un día.",Crimen,1h 31min,Animals
4,"6,4",,Kyle Thomas,Kyle Thomas,"When her parents are killed in a sudden car accident, television actor Frankie King (Alana Hawley Purvis) returns to her hometown in rural Alberta to face this tragedy after being estranged from her family for 20 years.",Drama,1h 26min,Range Roads
5,"8,8",,Alejandra Hou,Alejandra HouAngelica Reyes,"After a mysterious storm, Egypt is moved to a new planet away from Earth. There, the Pharaoh decides to impose a law where every kid belongs to him. Istar, the Pharaoh's obsession, decides to return after not seeing her mother for 12 years. Therefore, she will need to survive the obstacles on her way, finding in the process that her mother abandoned her to protect her... Leer todo",Corto,15min,Inside the Notebook
6,"5,7",,Dan Mazer,Tim Long,"Con la esperanza de encontrar amistad con un estudiante de intercambio francés, un adolescente torpe descubre que el estudiante no es tan sofisticado y culto como suponía.","Comedia
Drama",1h 33min,El estudiante de intercambio
7,"5,4",,Andy Heck,Jonathan KittrellNick Shaner,A young gay man thinks back to his childhood growing up in a conservative Christian home and wants to move on with his life.,Corto,7min,Burn
8,"6,6",,Kaltrina Krasniqi,Doruntina Basha,"Vera is a middle-aged sign language interpreter, whose life is disrupted by her husband's suicide who has to face the raw reality of going against the deep-seated gender issues of our times.",Drama,1h 22min,Vera Dreams of the Sea
9,"8,1",,Ibrahim Faal,Ibrahim Faal,Anna lives with her alcoholic and controlling father and dreams of becoming an actress.,Corto,9min,Don't Kill My Dreams
10,"6,0",,D. Mitry,D. Mitry,Angie Goodwin runs away after a horrific car crash to make her dream of becoming a superhero come true.,"Drama
Misterio",1h 26min,My True Fairytale
