,0,1,2,3,4,5,6,7
0,"7,2",9%,John Francis Daley,Jonathan Goldstein,"Un encantador ladrón y un grupo de aventureros poco comunes, emprenden una búsqueda épica para recuperar una reliquia perdida, pero las cosas se complican peligrosamente cuando se encuentran con las personas equivocadas.","Acción
Aventura
Comedia",2h 14min,Dungeons & Dragons: Honor entre ladrones
1,"6,7",73%,Benjamin Renner,Mike White,Una familia de patos intenta convencer a su sobreprotector padre para que se vaya de vacaciones.,"Animación
Aventura
Comedia",1h 23min,Migración: Un viaje patas arriba
2,"7,0",29%,Aaron Horvath,Matthew Fogel,"Un fontanero llamado Mario viaja a través de un laberinto subterráneo con su hermano, Luigi, tratando de salvar a una princesa capturada.","Animación
Aventura
Comedia",1h 32min,Super Mario Bros.: La película
3,"4,4",94%,Calmatic,Jamal Olori,Un estudiante de instituto decide organizar una fiesta en casa mientras sus padres están fuera.,Comedia,1h 40min,House Party
4,"6,8",64%,Rajkumar Santoshi,Sanjeev,A light comedy about a good-for-nothing boy who falls in love with a studious girl from a conservative family. Thus the funny conflict and situations that pop up.,"Comedia
Drama
Romance",2h 2min,Bad Boy
5,"6,7",84%,Francis Lawrence,Michael Lesslie,Coriolanus Snow ejerce de mentor y desarrolla sentimientos hacia la tributo femenina del Distrito 12 durante los X Juegos del Hambre.,"Acción
Aventura
Drama",2h 37min,Los juegos del hambre: Balada de pájaros cantores y serpientes
6,"6,8",73%,Blitz Bazawule,Marcus Gardley,Adaptación musical de la novela de Alice Walker sobre las luchas de toda una vida de una mujer afroamericana que vive en el sur a principios del siglo XX.,"Drama
Musical",2h 21min,El color púrpura
7,"6,5",84%,George C. Wolfe,Julian Breece,El activista Bayard Rustin se enfrenta al racismo y la homofobia cuando ayuda a cambiar el curso de la historia de los derechos civiles orquestando la Marcha sobre Washington de 1963.,"Biografía
Drama
Historia",1h 46min,Rustin
8,"6,5",46%,Peter Pontikis,Peter Pontikis,It tells the story of a boy from a socially deprived suburb who is forced to help his friend out of trouble with the local 'gang'. This risks changing the course of his life and sending him to a path that he did not choose himself.,Crimen,1h 35min,Bullets
9,"6,1",89%,Hideaki Anno,Hideaki Anno,"Hongo Takeshi se despierta y descubre que ha sido transformado en un ciborg híbrido de saltamontes. Convertido en el Jinete Enmascarado, debe luchar contra la misteriosa y malvada organización Shocker para proteger a toda la humanidad.","Acción
Aventura
Drama",2h 1min,Shin Kamen Raidâ
