,0,1,2,3,4,5,6,7
0,"6,9",72%,Jon Favreau,Justin Theroux,"Con el mundo sabiendo que es Iron Man, Tony Stark debe lidiar tanto con su salud en declive como con un loco vengativo con vínculos con el legado de su padre.","Acción
Ciencia ficción",2h 4min,Iron Man 2
1,"6,0",21%,Florian Henckel von Donnersmarck,Florian Henckel von Donnersmarck,Frank es un turista estadounidense que visita Italia para reparar un corazón roto. Elise es una mujer extraordinaria que se cruza deliberadamente en su camino.,"Acción
Suspense",1h 43min,The Tourist
2,"7,0",72%,Robert Schwentke,Jon Hoeber,"Cuando su pacífica vida se ve amenazada por un asesino de alta tecnología, el exagente de operaciones encubiertas Frank Moses vuelve a reunir a su antiguo equipo en un último esfuerzo por sobrevivir y descubrir a sus agresores.","Acción
Comedia
Crimen",1h 51min,RED
3,"7,6",77%,Matthew Vaughn,Jane Goldman,"Dave Lizewski es un estudiante de instituto que pasa desapercibido. Adora los cómics y un día decide convertirse en superhéroe, aunque no tiene ningún poder ni entrenamiento.","Acción
Comedia
Crimen",1h 57min,Kick-Ass: Listo para machacar
4,"5,1",92%,Dolph Lundgren,Raul Inglis,A Soviet-trained assassin is determined to escape his double life as a hitman and as a husband-father.,"Acción
Suspense",1h 28min,Icarus
5,"7,1",55%,Amazon Bob Carter,Amazon Bob Carter,"Two bounty hunters, Demon Jones and The Babe, go to Catalina Island to pick up a bond jumper and find the island crawling with what they think are zombies.",Acción,2h 27min,Dead in the Head
6,"5,5",42%,Adam Green,Adam Green,"Marybeth escapes the clutches of the bayou-butcher Victor Crowley and returns to the swamp with an army of hunters and gunmen, determined to end Crowley's reign of horror once and for all.","Acción
Comedia
Terror",1h 25min,Hatchet II
7,"6,6",45%,Andrey Kavun,Andrey Kavun,"Based on the true story of five Russian pilots captured by the Taliban. They are forced to spend three-hundred-seventy-eight days in hell, while facing questions of loyalty, survival and planing their treacherous escape route home.",Acción,1h 43min,Kandagar
8,"7,1",71%,S. Shankar,S. Shankar,Un científico brillante crea un robot humanoide para proteger a la humanidad.,"Acción
Ciencia ficción
Suspense",2h 35min,Enthiran
9,"6,2",94%,Matthew Castellanos,Arlene ArmentaRicardo AyalaOdaliz Cabrera,A loving father faces different obstacles in a desperate attempt to attend his daughter's championship volleyball game.,Corto,7min,Endgame
10,"7,3",30%,Theo Papadoulakis,Panagiotis Papoutsakis,Christmas Eve. On a busy shopping street a young man with a crowbar causes total chaos.,Corto,4min,My Brother
11,"3,9",89%,Rec Revan,Rec Revan,"A crime, mystery, time travel story... which fits marvellously well and seems quite realistic despite the uncommon situations.","Acción
Aventura
Terror",1h 25min,Aporia
12,"3,5",29%,Robert L. Parker III,Robert L. Parker III,"A story about Debra and her daughter Tracey struggles in the heart of Memphis. Debra tries to keep her daughter out of danger and off the streets but it doesn't help with the surrounding of drug dealers, pimps and prostitution. It gets worst when Erin and her gang interfere in situations with Tracey and Kandi. That's when Tracey takes matters in her own hands.",Acción,1h 36min,The Struggle
13,"7,0",90%,David F. Sandberg,Henry Gayden,"Todo el mundo lleva un superhéroe en su interior, solo se necesita un poco de magia para sacarlo. En el caso de Billy Batson, un joven huérfano de 14 años, con tan solo pronunciar la palabra Shazam se convierte en un superhéroe adulto.","Acción
Aventura
Comedia",2h 12min,¡Shazam!
14,"7,0",38%,Jeff Tremaine,Rich Wilkes,La historia de cómo Mötley Crüe llegó a ser uno de los grupos de rock'n roll más conocidos de la historia.,"Biografía
Comedia
Drama",1h 47min,The Dirt
15,"5,8",94%,Stephen Cedars,Stephen Cedars,"After status-obsessed teen Sara has sex for the first time, she wakes up the next day nine months pregnant-with an alien.","Comedia
Terror
Ciencia ficción",1h 36min,Snatchers
16,"6,3",96%,Sasie Sealy,Banban Cheng,"Ambientada en el barrio chino de la ciudad de Nueva York, una abuela china malhumorada y fumadora empedernida va por todo o nada en el casino, aterrizando en el lado equivocado de la suerte y en medio de una guerra de pandillas.","Comedia
Crimen
Drama",1h 27min,Lucky Grandma
17,"6,6",83%,Brendan Mitchell,Brendan MitchellGabriel MercadoFrankie Pozos,YouTubers Brendan Mitchell and his pint-sized sidekick Gabriel Mercado make their long-awaited return to Sin City. They double-down with new crew members and a mysterious fanny pack.,Documental,1h 18min,Out and About Movie 2: Las Vegas Adventure
18,"5,6",53%,Tosca Musk,Joany Kane,Basado en el bestseller de la autora Jodi Ellen Malpas.,"Comedia
Romance",2h 6min,The Protector
19,"6,8",64%,Edward Norton,Edward Norton,"En el Nueva York de los años 50, un solitario detective privado afectado por el síndrome de Tourette se aventura a resolver el asesinato de su mentor y único amigo.","Crimen
Drama
Misterio",2h 24min,Huérfanos de Brooklyn
20,"6,8",71%,Kriv Stenders,Stuart Beattie,"En agosto de 1966, en una plantación de caucho vietnamita llamada Long Tan, 108 soldados jóvenes y en su mayoría sin experiencia que vienen de Australia y Nueva Zelanda luchan por sus vidas contra 2500 soldados del Viet Cong.","Acción
Drama
Bélico",1h 58min,Danger Close: La batalla de Long Tan
21,"6,8",61%,Todd Robinson,Todd Robinson,"34 años tras su muerte, el piloto William H. ""Pits"" Pitsenbarger es galardonado con el mayor honor militar por sus acciones en el campo de batalla.","Drama
Bélico",1h 56min,Con todos los honores
22,"7,0",38%,Jeff Tremaine,Rich Wilkes,La historia de cómo Mötley Crüe llegó a ser uno de los grupos de rock'n roll más conocidos de la historia.,"Biografía
Comedia
Drama",1h 47min,The Dirt
23,"5,3",27%,Gregor Jordan,Jack Thorne,The stunning landscape of Western Australia is the backdrop for an impassioned tale of love and grief in Gregor Jordan's adaptation of the acclaimed novel by Tim Winton.,"Crimen
Drama
Romance",1h 45min,Dirt Music
24,,43%,,,,"Corto
Drama
Fantasía",8min,The Coven
25,,54%,,,,Corto,7min,The Veil Removed
26,,50%,,,,"Drama
Suspense",1h 18min,Paradise
27,,100%,,,,"Documental
Drama
Deporte",1h 45min,The Australian Dream
28,,8%,,,,Corto,17min,Chlorine
29,,83%,,,,"Documental
Drama
Deporte",1h 28min,Changing the Game
30,,93%,,,,Drama,1h 48min,Bull
31,,75%,,,,Comedia,1h 21min,Family Obligations
32,,96%,,,,"Comedia
Crimen
Drama",1h 27min,Lucky Grandma
33,"7,3",85%,Marco Romano,Marco Romano,An arthouse film consisting of a spinning red triangle in 2019 San Marino.,Drama,11h 59min,I Watched TV Show and Died from Blood
34,"6,0",63%,Derrick Borte,Carl Ellsworth,Un thriller psicológico que lleva al límite de forma aterradora algo que todos hemos experimentado: la cólera al volante.,"Acción
Suspense",1h 30min,Salvaje
35,"3,7",54%,Anbarasan,Anbarasan,"A cop, who sets out to solve the mysterious death of infants in Kumbakonam, realises that a few bigwigs are behind the crime.","Acción
Crimen
Suspense",2h 13min,Walter
36,"7,9",82%,Chûji Mikasano,Chûji MikasanoYoshihiro Togashi,Un delincuente adolescente muere en un accidente automovilístico y resucita como investigador de lo sobrenatural.,Acción,2h 6min,Butai Yu Yu Hakusho
37,"5,4",93%,Conor Allyn,Jake Allyn,"Cuando una patrulla fronteriza vigilante se derrumba, un hombre huye en caballo a México, buscando el perdón del padre de la víctima.","Acción
Aventura
Suspense",1h 54min,No Man's Land
38,"4,7",50%,James Balsamo,James Balsamo,"Crashing funerals, digging through corpses to find drugs, and busting big-breasted bad girls is all in a days work for Officer Rod Davis.",Acción,1h 30min,Catch of the Day 2: You Die at Dawn!
39,"6,9",100%,Chaanakya,Aakarshika,"Raaj and Jessie , A newly married happy couple settled in a Private luxury house, Encounter unnatural and unbelievable situations followed by series of trouble emotionally, physically and mentally .The protagonist Raaj challenges the situations and gets his share of Revenge .","Acción
Terror
Romance",2h 2min,My Name Is Raja
40,"6,3",86%,Il Cho,Il Cho,"Un horrible virus arrasa una ciudad. Mientras tanto, un joven atrincherado en su apartamento y aislado del mundo digital busca desesperadamente una salida.","Acción
Drama
Terror",1h 38min,#Vivo
41,"7,3",20%,Caleb Lisitsin,Caleb LisitsinAiden GaleAdam Corey,"Después de varios años, un joven regresa a su ciudad natal en busca de vengarse de una pandilla local que arruinó su vida",Acción,1h 24min,Vigilante
42,"4,4",0%,Sam Macaroni,Sam Macaroni,"Una pareja recién prometida encuentra la casa de sus sueños, que se convierte en pesadilla cuando el amigo de los previos dueños decide quedarse de ocupa creando un conflicto que amenaza con destruir, su casa, su familia y su relación.",Comedia,1h 24min,Guest House
43,"8,7",100%,Andrew Putschoegl,Sam Harris,"A live recording of Sam Harris's award-winning one-man musical performance, tracing his rise to stage stardom.","Documental
Comedia
Musical",1h 53min,HAM: A Musical Memoir
44,"6,4",100%,Icíar Bollaín,Icíar Bollaín,Rosa está apunto de cumplir 45 y se da cuenta de que siempre ha vivido para los demás. Decide dejarlo todo atrás y tomar el timón de su vida para cumplir su sueño de empezar un nuevo negocio.,Comedia,1h 37min,La boda de Rosa
45,"5,8",54%,Thomas Ancora,Thomas Ancora,"Simon, Mehdi and Fred, 3 childhood friends are invited to the funeral of Juan, a former school mate, who has a last wish: he wants the boys to start a ""Losers Revolution"" and seek revenge on their high school bullies.",Comedia,1h 29min,Losers Revolution
46,"7,5",83%,Alejandro Montoya Marín,Alejandro Montoya Marín,"Set in the days leading up to the year 2000, friends Kelly and Miguel - along with the rest of the world - find themselves facing mounting pressures and the harsh realities of their futures.",Comedia,1h 30min,Millennium Bugs
47,"5,7",84%,Josh Ruben,Josh Ruben,"Durante un apagón, dos desconocidos cuentan historias de miedo. Cuanto más se comprometen Fred y Fanny con sus cuentos, más cobran vida en su cabaña de Catskills.","Comedia
Terror",1h 44min,Scare Me
48,"5,2",94%,Vincent Masciale,Luke Barnett,"Cuando dos amigos se dan cuenta de que todas las películas generan grandes cantidades de dinero en efectivo, se embarcan en la misión de hacer una propia.",Comedia,1h 32min,Faith Ba$ed
49,"6,1",85%,Laura Terruso,Alison Peck,"Para poder acceder a la universidad de sus sueños, Quinn Ackerman debe bordarlo en una competición de baile, así que reúne a un pintoresco grupo para enfrentarse al mejor equipo del instituto.","Comedia
Música",1h 33min,Work it: Al ritmo de los sueños
50,"4,2",0%,David Dhawan,Rumi Jaffery,"Para vengarse de una familia rica, un hombre se hace pasar por millonario para pedir la mano de su hija. Cuando su trama es descubierta, finge tener un hermano gemelo, y así las mentiras se empiezan a amontonar.","Acción
Comedia
Romance",2h 14min,Coolie No. 1
51,"5,8",93%,Hitesh Kewalya,Hitesh Kewalya,"El camino hacia un final feliz para Kartik y Aman es rocoso. La familia de Aman intenta romper su amor por Kartik, pero este no se dará por vencido hasta casarse con su chico.","Comedia
Crimen
Romance",1h 57min,Shubh Mangal Zyada Saavdhan
52,"5,9",44%,Eshom Nelms,Ian Nelms,"Un Santa Claus revoltoso y poco ortodoxo lucha por salvar su negocio en declive. Mientras tanto, Billy, un descuidado y precoz niño de 12 años, contrata a un sicario para que mate a Santa Claus tras recibir un trozo de carbón.","Acción
Aventura
Comedia",1h 40min,Matar a Santa
53,"4,7",50%,William Olsson,Catherine Hanrahan,"Margaret, una respetada profesora de inglés de día, se sumerge en el reluciente laberinto de Tokio por la noche. Con rumbo incierto, busca la amistad en sus compañeros expatriados hasta que conoce a un miembro de la Yakuza Kazu.","Drama
Suspense",1h 37min,Lost Girls and Love Hotels
54,"7,0",100%,Piotr Domalewski,Piotr Domalewski,Olka debe viajar a Irlanda para traer el cuerpo de su padre de regreso a Polonia después de que murió trabajando en un sitio de construcción.,"Comedia
Drama",1h 38min,I never cry (Yo nunca lloro)
55,"5,4",59%,Danielle Arbid,Danielle Arbid,Una madre cae en una adictiva relación con un diplomático ruso con el que no tiene nada en común.,"Drama
Romance",1h 39min,Passion simple
56,"5,6",47%,Paul Solet,Paul Solet,"Atormentado por su pasado, un hombre llamado Clean intenta una vida tranquila de redención. Pero pronto se ve obligado a reconciliarse con la violencia de su pasado.","Acción
Crimen
Drama",1h 34min,Clean
57,"4,7",20%,Imtiaz Ali,Imtiaz Ali,"Dos individuos en un viaje de amor, pérdida y vida a través de las fases de la reencarnación.","Drama
Romance",2h 22min,Love Aaj Kal 2
58,"6,7",91%,Ruthy Pribar,Ruthy Pribar,La maternidad de Asia siempre ha sido una lucha constante más que un instinto obvio.,Drama,1h 25min,Asia
59,"5,3",92%,Zeina Durra,Zeina Durra,"Cuando la trabajadora humanitaria británica Hana regresa a la antigua ciudad de Luxor, se encuentra con su ex amante Sultan. Ella lucha por reconciliar las elecciones del pasado con la incertidumbre del presente.","Drama
Romance",1h 25min,Luxor
60,"5,4",50%,Ruchi Narain,Atika Chohan,"When a college heartthrob is accused of rape by a less popular student, his girlfriend navigates various versions of the story in search of the truth.","Drama
Suspense",1h 59min,Guilty
61,"5,8",31%,Gerard Bush,Gerard Bush,La autora de éxito Veronica Henley se ve atrapada en una terrible realidad y tiene que destapar un misterio que desafía toda comprensión antes de que sea demasiado tarde.,"Drama
Terror
Misterio",1h 45min,Antebellum
62,"6,1",100%,Joachim Hedén,Joachim Hedén,Unas vacaciones invernales de buceo en Noruega se convierten en una desesperada carrera contrarreloj para dos hermanas cuando una de ellas acaba atrapada en el fondo del océano.,"Aventura
Drama
Terror",1h 22min,Atrapada en las profundidades
63,"8,0",49%,Christopher Jason Bell,Christopher Jason Bell,Two men design and build a detention center.,Corto,9min,Boundaries
64,"5,2",0%,Julien Leclercq,Julien Leclercq,"Saïd es dueño de un aserradero en las profundidades del bosque, que decide vender. Poco sabe que uno de sus aprendices fue acorralado por su hermano y obligado a esconder una gran cantidad de cocaína dentro de la fábrica.","Acción
Crimen
Drama",1h 20min,La tierra y la sangre
65,"9,0",82%,Richard Hunter,Richard Hunter,"Set on the coastal town of Dungeness, skeletons tells the story of Rose, an aging sex line worker, who attempts to escapes a loveless marriage after she falls head over heels for a rotting corpse.",Corto,20min,Skeletons
66,"6,4",63%,Marian Crisan,Gabriel AndronacheMarian Crisan,"A high-profile politician running for the EU Parliament meets a tractor driver, teaming up during the election campaign in a small Romanian town.",Comedia,1h 33min,Berliner
67,"6,8",93%,Christos Nikou,Christos Nikou,"En medio de una pandemia que causa amnesia repentina, Aris, se encuentra inscrito en un programa de recuperación, diseñado para ayudar a los pacientes no reclamados a construir nuevas identidades.",Drama,1h 31min,Apples
68,"6,1",61%,Philippe Garrel,Jean-Claude Carrière,"Un joven provinciano viaja a París para presentarse a un examen de acceso a una ""grande école"". Su camino se cruza con el de una mujer joven y entablan una relación de corta duración.","Drama
Romance",1h 40min,Le sel des larmes
69,"5,6",93%,Lee Thongkham,Lee Thongkham,Joy trabaja como sirvienta doméstica y es perseguida por el espíritu de la sirvienta anterior que la guía para descubrir el secreto detrás de su muerte.,"Drama
Terror
Misterio",1h 42min,The Maid
70,"5,4",75%,Christopher Munch,Christopher Munch,A respected journalist uncovers the truth behind the mythology of President Eisenhower's long-alleged involvement in extraterrestrial events.,"Drama
Historia
Ciencia ficción",1h 48min,The 11th Green
71,"6,5",71%,Bettina Oberli,Cooky Ziesche,"Wanda, a Polish woman, takes care of 70-year-old Joseph in his family villa on the lake. She is always there for him and also helps his wife Elsa. The work is poorly paid, but Wanda needs the money for her family.","Comedia
Drama",1h 51min,"Wanda, mein Wunder"
72,"5,9",54%,Ryan Murphy,Bob Martin,Un grupo de estrellas del teatro se reúne en una localidad conservadora de Indiana para apoyar a una estudiante que quiere llevar a su novia al baile de graduación.,"Comedia
Drama
Musical",2h 10min,The Prom
73,"5,4",23%,Michael M. Scott,David Golden,"Cuando un anciano rico muere e inesperadamente deja su patrimonio a su nueva cuidadora, ella se ve envuelta en una red de engaños y asesinatos.","Crimen
Misterio
Suspense",1h 36min,Dangerous Lies
74,"8,7",80%,Sudha Kongara,Sudha Kongara,"Maara se dispone a hacer volar al hombre común, y en proceso se enfrenta a la industria con más inversión de capital y a varios enemigos que se interponen en su camino.",Drama,2h 33min,Soorarai Pottru
75,"7,5",50%,Christian Igbinovia,Christian Igbinovia,"This is the story of a young, immigrant couple, whose love is tested by real life struggles and challenges on a foreign soil.",Drama,1h 46min,The Love Between Us
76,"6,8",84%,Joe Mantello,Mart Crowley,"En una fiesta de cumpleaños en la Nueva York de 1968, un huésped sin invitación y un juego alcohólico hacen que siete amigos gays se enfrentan a sentimientos de los que no hablan y a verdades enterradas.",Drama,2h 1min,Los chicos de la banda
77,"6,0",55%,Simon McQuoid,Greg Russo,"El joven luchador Cole Young, ajeno a su propia historia, busca a los mayores campeones de la Tierra para junto a ellos plantar cara a los enemigos de Outworld en una batalla de envergadura universal.","Acción
Aventura
Fantasía",1h 50min,Mortal Kombat
78,"5,8",45%,Stefano Sollima,Taylor Sheridan,"John Clark, un SEAL de la Marina, emprende un camino para vengar el asesinato de su esposa solo para encontrarse dentro de una conspiración más grande.","Acción
Drama
Suspense",1h 49min,Sin remordimientos
79,"5,8",67%,Zack Snyder,Zack Snyder,"Tras un brote zombi en Las Vegas, un grupo de mercenarios se arriesga a adentrarse en la zona de cuarentena para dar el golpe de sus vidas.","Acción
Crimen
Drama",2h 28min,Ejército de los muertos
80,"4,7",70%,Lluís Ortega,Lluís Ortega,"En 1983, un grupo de arqueólogos estadounidenses son tomados prisioneros en el castillo de Wewelsburgo. Indiana Jones, con Sallah y Hasani, viaja al Vaticano Nazi y descubren el último y más siniestro plan del Tercer Reich.","Acción
Aventura
Drama",1h 30min,Indiana Jones y el santuario de la orden negra
81,"2,8",100%,Robert D. Parham,Trey McIntosh,"Sarah Camden, a special operations soldier with PTSD, returns home to bury her mother. She realizes that she has to rid her hometown of gangs, drugs and crooked politicians. Sarah calls in her special ops buddies to clean up the town.",Acción,1h 25min,Snow Black
82,"6,1",82%,Jude Weng,Christina Strain,Un verano en la rural isla de O'ahu da un giro inesperado y emocionante cuando dos hermanos criados en Brooklyn descubren un diario que indica la ubicación de un tesoro perdido.,"Acción
Aventura
Comedia",2h 3min,'Ohana: El tesoro de Hawái
83,"6,8",68%,Kôbun Shizuno,Amr Almaddah,An animated tale based on the history and culture of ancient Arabia.,"Animación
Acción
Aventura",1h 50min,The Journey
84,"5,8",33%,Sanjay Gupta,Robin Bhatt,La trama de la película se desarrolla en la era de los años 80 y 90 que se marcaron como un período transformado de Mumbai.,"Acción
Crimen
Historia",2h 15min,Mumbai Saga
85,"7,4",75%,Lokesh Kanagaraj,Lokesh Kanagaraj,"Sigue la historia de un profesor alcohólico que es enviado a una escuela de menores, donde choca con un gánster, que utiliza a los niños de la escuela para actividades delictivas.","Acción
Crimen
Drama",2h 59min,Master
86,"4,8",33%,Vicente Amorim,Danilo Beyruth,"La heredera de la mitad del sindicato del crimen Yakuza, se alía con un extraño amnésico, que cree que una espada antigua une sus dos destinos. Deben librar una guerra contra la otra mitad del sindicato que la quiere muerta.",Suspense,1h 51min,La princesa de la Yakuza
87,"7,3",93%,Shahzaib Yaqoob,Shahzaib Yaqoob,"Peter Parker living a double-life a years later, faces a mysterious new threat with the power of illusions.",Acción,49min,The Spider-Man 2
88,"5,7",63%,Lana Wachowski,Lana Wachowski,"Un mundo de dos realidades: una, la vida cotidiana; la otra, lo que hay detrás. Para descubrir si su realidad es un espejismo y conocerse a sí mismo, el Sr. Anderson tendrá que optar por seguir al conejo blanco una vez más.","Acción
Ciencia ficción",2h 28min,Matrix Resurrections
89,"8,2",93%,Jon Watts,Chris McKenna,"Con la identidad de Spider-Man ahora revelada, Peter recurre al Doctor Strange en busca de ayuda. Algo sale mal y el multiverso se convierte en la mayor amenaza. Ahora Peter debe descubrir qué significa realmente ser Spider-Man.","Acción
Aventura
Fantasía",2h 28min,Spider-Man: No Way Home
90,"6,4",0%,Shakti Soundar Rajan,Shakti Soundar Rajan,Un joven con TOC se propone salvar a una niña de las garras de una mafia médica internacional con la ayuda de un oso de peluche.,"Acción
Aventura
Fantasía",2h 16min,Teddy
91,"1,9",9%,Prabhu Deva,Vijay Maurya,"Después de capturar al temido gángster Gani Bhai, el ACP Rajveer Shikawat, alias Radhe, emprende una persecución para encontrar al hombre más rico de la ciudad que dirige en secreto un sindicato del crimen.","Acción
Crimen
Suspense",1h 49min,Radhe
92,"5,0",27%,Naveen A. Chathapuram,Ashley James Louis,"Sigue al sheriff Hickey mientras intenta resolver el peor caso que ha visto en su pequeña ciudad, probablemente causado por una violenta banda local liderada por un terrorífico criminal.","Acción
Aventura
Crimen",1h 52min,The Last Victim
93,"6,1",54%,Ranjit Tewari,Aseem Arrora,Un agente encubierto llamado Bellbottom se embarca en una misión encubierta para liberar a 210 rehenes retenidos por secuestradores.,"Acción
Suspense",2h 3min,Bellbottom
94,"5,7",94%,Sriram Adittya,Sriram Adittya,Arjun whose life takes a dramatic turn when he receives a gun in a courier. .,Acción,2h 12min,Hero
95,"5,6",33%,John Swab,John Swab,"Es posible que Ida Walker no sobreviva a su enfermedad terminal mientras esté encarcelada por robo a mano armada. Recurre a su hijo, Wyatt, en busca de un último trabajo y la oportunidad de recuperar su libertad.","Drama
Suspense
Del oeste",1h 51min,Ida Red: el precio de la libertad
96,"6,1",40%,Ahishor Solomon,Ahishor Solomon,A brash but brilliant Indian intelligence agent leads a covert operation to nab the mastermind behind a series of attacks threatening national security.,"Acción
Aventura
Crimen",2h 25min,Wild Dog
97,"5,3",70%,Aku Louhimies,Ilkka Remes,Después de que la celebración del Día de la Independencia de Finlandia es interrumpida por un ataque terrorista en el Palacio Presidencial y distinguidos invitados son tomados como rehenes.,"Acción
Suspense",1h 59min,Omerta 6/12
98,"5,0",71%,Hadi Hajaig,Hadi Hajaig,"Harry, a broken man struggling to come to terms with the murder of his wife and daughter is living a hallucinatory life. When he discovers the whereabouts of the killers he awakens from his grief to destroy those who destroyed his life","Acción
Suspense",1h 19min,Vengeance Is Mine
99,"4,5",8%,Randall Emmett,Alan Horsnail,Un agente del FBI y una oficial del estado de Florida se unen para investigar una serie de casos de asesinato sin resolver.,"Crimen
Misterio
Suspense",1h 39min,Tras la pista del asesino
100,"7,2",100%,Kwang Il Han,Beau DeMayo,"Escapando de la pobreza para convertirse en brujo, Vesemir mata monstruos por dinero y gloria, pero cuando surge una nueva amenaza, debe enfrentarse a los demonios de su pasado.","Animación
Acción
Aventura",1h 23min,The Witcher: La pesadilla del lobo
101,"2,5",6%,Edward Drake,Edward Drake,"En una sociedad futurista, científicos y guerreros se unen para proteger a la humanidad de una raza alienígena hostil que ha llegado al planeta con el poder de infectar y controlarnos a su antojo.","Acción
Ciencia ficción",1h 28min,Cosmic Sin
102,"3,8",20%,Christian Sesma,Zach Zerries,Zara y Brian están viviendo la vida perfecta en una pequeña ciudad cuando un misterioso extraño del pasado secreto de Zara secuestra a su hija y ahora deben correr para salvar su vida.,"Acción
Suspense",1h 29min,Take Back
103,"6,5",33%,Vardhan Ketkar,Magizh Thirumeni,The murder investigation of a young man takes an unexpected turn when the cops discover that the prime suspect has a lookalike.,"Acción
Crimen
Drama",2h 10min,Gumraah
104,"6,6",62%,Jaume Collet-Serra,Michael Green,"Basada en la atracción del parque temático Disneyland, en la que una pequeña embarcación fluvial lleva a un grupo de viajeros a través de una selva llena de animales y reptiles peligrosos, pero con un elemento sobrenatural.","Acción
Aventura
Comedia",2h 7min,Jungle Cruise
105,"5,3",40%,Teppo Airaksinen,Ali Moussavi,"El vínculo innegable de Neil y Gilbert, amigos de toda la vida, se pone a prueba hasta el límite cuando Neil pide un deseo mágico que se hace realidad y cambia todo.","Acción
Comedia
Crimen",1h 32min,Supercool: Una Noche de Locura
106,"4,3",10%,Hardik Mehta,Mrighdeep Lamba,"Janhvi Kapoor ha comenzado a rodar para la comedia de terror Roohi Afza, en la que protagoniza junto a Rajkummar Rao y Varun Sharma.","Comedia
Terror",2h 14min,Roohi
107,"6,8",92%,Robert Cullen,Tim Sullivan,"El mundo poni de Equestria ha perdido su magia. Ahora, el miedo y la desconfianza enfrentan a los ponis terrestres, los unicornios y los pegasos. Sunny e Izzy emprenden una aventura épica para devolver la magia a Equestria.","Animación
Aventura
Comedia",1h 30min,My Little Pony: Una nueva generación
108,"4,6",22%,Ben Falcone,Ben Falcone,"En un mundo en el que los supervillanos son comunes, dos amigas que no se ven desde la infancia se reencuentran y crean un tratamiento para obtener poderes y proteger su ciudad.","Acción
Aventura
Comedia",1h 46min,Patrulla Trueno
109,"3,8",57%,Baron Davis,Baron Davis,"Domino: Battle of the Bones is a feel-good comedy about an elderly black man who teams up with his awkward, white step-grandson to defeat his rival in a domino tournament.",Comedia,1h 50min,Domino: Battle of the Bones
110,"4,9",54%,Ryan Simpkins,Ryan Simpkins,"Beth wakes up after a night she can't remember to discover her guitar missing. She'll go through hell to get it back. But, like, after some aspirin.",Corto,11min,Nineteen on Fire
111,"5,6",40%,Tanya Wexler,Scott Wascha,"Cuando su primer amor es asesinado, una chica emprende una misión de venganza para encontrar al asesino mientras la policía la persigue como su principal sospechoso.","Acción
Comedia
Crimen",1h 31min,Jolt
112,"8,8",100%,M. Manikandan,M. Manikandan,The last active farmer in a remote village tries to hold out against a property developer.,Drama,2h 2min,Kadaisi Vivasayi
113,"6,1",82%,Jude Weng,Christina Strain,Un verano en la rural isla de O'ahu da un giro inesperado y emocionante cuando dos hermanos criados en Brooklyn descubren un diario que indica la ubicación de un tesoro perdido.,"Acción
Aventura
Comedia",2h 3min,'Ohana: El tesoro de Hawái
114,"6,0",92%,Mark Atkinson,Mark Atkinson,The lives of two roommates and a mysterious man intertwine in a tale of conflict and clashing within close quarters.,Corto,14min,Pulp Friction
115,"4,5",71%,D.W. Thomas,Tom Becker,Una asistente solitaria finalmente encuentra el amor y debe escapar de su monstruoso jefe antes de que ella y su nuevo amor se conviertan en su próxima comida.,"Comedia
Terror",1h 20min,Too Late
