,0,1,2,3,4,5,6,7
0,"5,8",,Michael Maren,Michael Maren,"Cuando un manitas que vive en Nueva York es confundido con un famoso escritor recluso, es llevado a una universidad donde debe pronunciar un discurso de apertura para salvar el festival literario de la escuela.",Comedia,1h 41min,Una pequeña mentira
1,"7,0",,Paul King,Roald Dahl,La historia se centrará específicamente en un joven Willy Wonka y en cómo conoció a los Oompa-Loompas en una de sus primeras aventuras.,"Aventura
Comedia
Familiar",1h 56min,Wonka
2,"5,8",,Dmitriy Dyachenko,Vasiliy Kutsenko,"What if Cheburashka really exists? What if he is not a plush toy, but quite a real furry animal that lives in an orange grove in a distant country?","Comedia
Familiar",1h 53min,Cheburashka
3,"7,9",,James Gunn,James Gunn,"Todavía conmocionado por la pérdida de Gamora, Peter Quill reúne a su equipo para defender el universo y a uno de los suyos, una misión que podría significar el fin de los Guardianes si no tienen éxito.","Acción
Aventura
Comedia",2h 30min,Guardianes de la Galaxia Vol. 3
4,"3,6",,Marja Pyykkö,Misa Palander,Four friends who have visited different ski resorts call themselves Ski Girls who are reunited for Emma's wedding. Their friendship will be tested as the other Ski Girls decide to stop Emma from making another mistake by getting married.,Comedia,1h 25min,Skimbagirls
5,"6,0",,Luv Ranjan,Rahul Mody,"La locura sobreviene cuando un 'jugador' en el mundo de las relaciones románticas encuentra a una chica que es una oponente digna, que cree que el amor es una batalla de ingenio.","Comedia
Romance",2h 30min,Mentira o astucia
6,"7,2",,Jeff Rowe,Seth Rogen,Los hermanos Tortuga trabajan para ganarse el amor de la ciudad de Nueva York mientras se enfrentan a un ejército de mutantes.,"Animación
Acción
Aventura",1h 39min,Ninja Turtles: Caos mutante
7,"6,1",,Hella Joof,Jenny Lund MadsenStine PilgaardIda Maria Rydén,It follows a Copenhagen couple's new life at a West Jutland folk high school.,Comedia,1h 47min,Meter i sekundet
8,"8,5",,Santiago Paladines,Santiago Paladines,"Three friends, longing for a higher status in society, put their lives and those of their families on the line, the day they receive a strange business proposal that promises to turn them into millionaires overnight.",Comedia,1h 33min,Los Wánabis
9,"6,8",,Marina Seresesky,Marina Seresesky,"El reencuentro de tres amigos, entre tango, baile, música y la oportunidad de un viaje que los llevará como en sus buenos tiempos a recorrer la ruta del país.","Comedia
Drama
Música",1h 39min,Empieza el baile
