,0,1,2,3,4,5,6,7
0,"5,0",,Rahul Dholakia,Ashwath Bhatt,Indian Military Intelligence deputes an agent to Kashmir incognito to find out who is behind extremist attacks.,"Acción
Drama
Suspense",2h 32min,Lamhaa: The Untold Story of Kashmir
1,"6,2",,Scotty Curlee,Scotty CurleeMartin Montgomery,"Reeling with grief in the wake of a tragic automobile accident, retired veteran cyclist, Chris Carmik, is given an opportunity he doesn't want, to train a rookie cycling prodigy. Preoccupied with battling his own inner demons, Chris reluctantly acclimates the prodigy, named Jake, to the fast paced world of Bicycle Racing. Using cutting edge technology and scientific t... Leer todo",Acción,1h 37min,The Potential Inside
2,"6,4",,Sylvester Stallone,Dave Callaham,Un agente de la CIA contrata a un equipo de mercenarios para eliminar a un dictador latino y a un agente renegado de la agencia.,"Acción
Aventura
Suspense",1h 43min,Los mercenarios
3,"6,7",,Diego Velasco,Diego Velasco,"The Zero Hour is a gritty, fast-paced heist film. Set in Caracas during the 24 hours of a controversial medical strike, the film tells the story of Parca (The Reaper) a feared hit man that is forced to take an elite hospital hostage in an attempt to save his wounded girlfriend. The police don't take long to arrive, and with them, a circus of media and onlookers. Parca... Leer todo","Acción
Drama
Suspense",1h 40min,La hora cero
4,"4,0",,Demian Lichtenstein,Eddie Guerra,"When three Vegas buddies attempt the score of a lifetime, they have to walk a fine line between their girlfriends who want their heads, and the mobsters who want them dead.","Acción
Comedia
Crimen",1h 35min,Venus & Vegas
5,"5,9",,Jay Roach,David Guion,Un grupo de personas se reúne periódicamente para cenar acompañados de la persona más idiota que conozcan.,Comedia,1h 54min,La cena
6,"8,3",,Lee Unkrich,John Lasseter,"Los juguetes terminan por error en una guardería en lugar del ático de Andy, justo antes que este se vaya a la universidad. Ahora dependerá de Woody convencer a los otros juguetes de que no fueron abandonados y regresar a casa.","Animación
Aventura
Comedia",1h 43min,Toy Story 3
7,"3,9",,Michael Booth,Jonathan Williams,"Frustrated filmmaker, Barry Lick, and a crew of film school wannabees, attempt to make a documentary about a local businessman who he believes is involved in property rackets, prostitution, pornography and drugs.",Comedia,1h 32min,Diary of a Bad Lad
8,"6,5",,Laura Casabe,Laura CasabeTomas Wortley,"In a popular auction that matches the sinister and colorful of a circus of phenomena, a couple adopts children in exchange for their belongings. The children there acquired, usually mutilated, are in their new home in order to prepare for access to the Peronist education program taught in only 10 state institutes.",Comedia,1h 25min,El hada buena - Una fábula peronista
9,"8,1",,John Anton,John AntonJason Waugh,"As this caper unfolds you will experience cool riffs, tattoos, excessive drug use, brief nudity, extremely strong language, mayhem, murder and a hail of gunfire.",Acción,2h 3min,"Guns, Drugs and Dirty Money"
10,"5,4",,Frank Ciota,Joseph A. Ciota,Un conductor de pompas fúnebres (Aiello) se une a un grupo de gente de Boston en un esfuerzo por mantener abierta la funeraria local.,Comedia,1h 44min,Stiffs
11,"7,0",,Rudy Luna,Rudy Luna,"Primemates is a disturbing and honest conversation among four men in an exclusive cigar shop. They talk about love, relationships, and sex. While exploring men's fascination with younger women, Primemates delves into many political taboos usually associated with the intellectual.",Comedia,1h 22min,PrimeMates
12,"3,9",,Roger Kumble,Michael Carnes,"En el desierto de Oregón, la nueva subdivisión de viviendas de un promotor inmobiliario se enfrenta a un grupo único de manifestantes: las criaturas del bosque local que no quieren que se altere su hogar.","Comedia
Familiar",1h 32min,En pata de guerra
