,0,1,2,3,4,5,6,7
0,"7,9",,Roberto Monticello,Doug Klozzner,Kids are forced to participate in a secret fight club run by town officials.,"Acción
Drama
Suspense",1h 28min,You Have the Right to Remain Violent
1,"3,8",,Angel M. Huerta,Armando Guajardo,Owal Tec investigates the paranormal activities that are taking place around the country.,"Acción
Aventura
Ciencia ficción",1h 50min,Seres: Genesis
2,"6,6",,Hark Tsui,Chia-Lu Chang,Un detective exiliado es reclutado para resolver una serie de misteriosas muertes que amenazan con retrasar la toma de posesión de la emperatriz Wu.,"Acción
Aventura
Drama",2h 3min,Detective Dee y el misterio de la llama fantasma
3,"6,4",,Stevan Filipovic,Stevan FilipovicStasa KoprivicaDimitrije Vojnov,Life is sometimes rude game: one mistake can buy you ticket to hell.,Acción,1h 42min,Sisanje
4,"6,1",,William Kaufman,William Kaufman,Two New Orleans cops are up against an extremely violent gang.,"Acción
Crimen
Suspense",1h 44min,Sinners and Saints
5,"6,2",,John Luessenhop,Peter Allen,A group of bank robbers find their multi-million dollar plan interrupted by a hard-boiled detective.,"Acción
Crimen
Drama",1h 47min,Ladrones
6,"4,6",,Fabrice Genestal,Paul BessonFabrice Genestal,A hot young Wall Street trader finds a formula based on climatology to play the market and win big... but at what cost?,Acción,1h 25min,Krach
7,"8,7",,V. Nagaraj,C. KumaresanJasmine MichaelK.K. Khanna,,Acción,2h,Undercover Rascals
8,"2,3",,Albert Pyun,Cynthia Curnan,A princess is on a quest to unite the five greatest warriors to save her kingdom from a demon sorceress.,"Acción
Aventura",1h 26min,Tales of an Ancient Empire
9,"5,7",,Hae-sung Song,John Woo,"Arms trafficker Hyuk and Young-chun are practically brothers and nothing can separate them. When the two managed to escape from North Korea, they left behind Hyuk's younger brother Chul. Hyuk can never shake off the guilt as his family was punished for his treason and his mother died in prison. Three years later, Chul finally makes his way to South Korea and join the ... Leer todo","Acción
Crimen
Drama",2h 4min,Moo-jeok-ja
10,"6,6",,Richard Berry,Franz-Olivier Giesbert,"Un mafioso retirado trata de vengarse, después de que su antiguo amigo de la infancia lo haya dado por muerto con ventidós balas en su cuerpo.","Acción
Crimen
Drama",1h 57min,22 balas
11,"6,3",,Luc Besson,Luc Besson,"En 1912, la periodista Adèle viaja a Egipto para hacerse con una momia. Su intención es encontrar la cura para su hermana, pero lo único que logra con su experimento es resucitar un huevo de pterodáctilo que provoca el pánico en París.","Acción
Aventura
Comedia",1h 47min,Adèle y el misterio de la momia
12,"3,1",,Neil Jones,Neil Jones,"The world may be recovering from a global zombie outbreak, but that's not stopping Dean from marrying. The stag party, along with a PVC-clad stripper they've hired, go to play Zomball - like paintball, except that you get to shoot zombies.","Acción
Comedia
Terror",1h 21min,Stag Night of the Dead
13,"4,6",,Anil Sharma,Shailesh Verma,Prithvi seeks revenge on Gyanendra Singh and the British. He sends his son Veer to Britain to study their plans. Veer kills Gyanendra's son but ends up falling in love with his daughter.,"Acción
Aventura
Drama",2h 49min,Veer
14,"5,1",,Andrés Couturier,Emmy LaybourneSam LaybourneRob Sosin,"Join Mr. Magoo and his nephew, Justin, as they dodge giant robotic spiders and jetski ninjas on a kung fu-style adventure! When supervillian, Tan-Gu, invites the world's most notorious bad guys to compete in the ""Evil-lympics,"" there's only one person who can put a stop to the wickedness and save mankind--Kung Fu Magoo!",Animación,1h 19min,Kung-Fu Magoo
15,"6,5",,Volt Jones,Eric Jacobus,A hit man must battle Italian and Chinese criminal organizations to be with the woman he loves.,Acción,1h 30min,Dogs of Chinatown
16,"4,3",,Kireet Khurana,Raagii Bhatnagar,A reel-life costumed actor is abducted and asked to be a real hero by Toon characters.,"Animación
Acción
Aventura",1h 35min,Toonpur Ka Superrhero
17,"3,4",,Adamo P. Cultraro,Adamo P. Cultraro,A ruthless mafia hit man is transformed when he rescues a woman who takes the fall for one of his hits.,Acción,1h 17min,Corrado
18,"5,4",,J.A. Steel,J.A. Steel,A Creature terrorizes a small town and it is up to a small group of scientists to stop it.,"Acción
Terror
Ciencia ficción",1h 23min,Denizen
