,0,1,2,3,4
0,Brea Grant,1981,"['12 Hour Shift', 'Torn Hearts', 'Lucky', 'Pandora', '2019–2020 • 3 eps']","['Director', 'Writer', 'Actress']","['Daytime Emmy Awards Nom', 'Fantasia Film Festival Win', 'Tribeca Film Festival Nom', 'Fangoria Chainsaw Awards Nom', 'FilmQuest Nom']"
1,Patrick Scott Lewis,1980,"['Zodiac', 'Neon Bleed', 'Country Pirates', 'Bear']","['Actor', 'Writer', 'Director']","['Idyllwild International Festival of Cinema Nom', 'Scotland International Festival of Cinema Win']"
2,Katie Lowes,1982,"['Wreck-It Ralph', 'Zootropolis', 'Scandal', '2012–2018 • 124 eps', '2011']","['Actress', 'Producer', 'Soundtrack']",['TV Guide Awards Win']
3,Will Forte,1970,"['MacGruber', 'Nebraska', 'The Last Man on Earth', '2015–2018 • 66 eps', '2014']","['Actor', 'Writer', 'Producer']","['American Comedy Awards USA Nom', 'Primetime Emmy Awards Nom', 'Satellite Awards Nom', 'Film Independent Spirit Awards Nom', 'MTV Movie + TV Awards Nom']"
4,Kristen Wiig,1973,"['Bridesmaids', 'The Skeleton Twins', 'The Secret Life of Walter Mitty', 'Zoolander 2']","['Actress', 'Producer', 'Writer']","['Academy Awards USA Nom', 'American Comedy Awards USA Nom', 'Annie Awards Nom', 'BAFTA Awards Nom', 'Critics Choice Awards Nom']"
5,Ryan Phillippe,1974,"['Crash', 'Gosford Park', 'Cruel Intentions', '54']","['Actor', 'Producer', 'Director']","['Blockbuster Entertainment Awards Nom', 'Critics Choice Awards Win', 'Csapnivalo Awards Nom', 'Florida Film Critics Circle Awards Win', 'Satellite Awards Win']"
6,Val Kilmer,1959,"['The Doors', 'The Saint', 'Kiss Kiss Bang Bang', 'The Salton Sea']","['Actor', 'Producer', 'Director']","['Academy of Science Fiction Fantasy & Horror Films USA Nom', 'CableACE Awards Nom', 'Camerimage Win', 'Sitges - Catalonian International Film Festival Win', 'Chicago Film Critics Association Awards Nom']"
7,Powers Boothe,1948,"['Sudden Death', 'Sin City', 'Avengers Assemble', 'Tombstone']","['Actor', 'Soundtrack']","['CableACE Awards Nom', 'Primetime Emmy Awards Win', 'Satellite Awards Nom', 'Screen Actors Guild Awards Nom', 'Golden Boot Awards Win']"
8,Maya Rudolph,1972,"['Bridesmaids', 'Away We Go', 'The Way Way Back', 'Saturday Night Live', '2000–2020 • 162 eps']","['Actress', 'Producer', 'Writer']","['Ariel Awards Mexico Nom', 'Critics Choice Awards Nom', 'Chicago Film Critics Association Awards Nom', 'Primetime Emmy Awards Win', 'Satellite Awards Nom']"
9,Rhys Coiro,1979,"['Entourage', 'Straw Dogs', 'Entourage', '2004–2011 • 27 eps', '2009']","['Actor', 'Producer']",['Screen Actors Guild Awards Nom']
