,0,1,2,3,4
0,Jani Volanen,1971,"['Munkkivuori', '2022 • 10 episodios', 'Guion', ""OlliJuha's friend"", 'Guion']","['Reparto', 'Guion', 'Dirección']","['Jussi Awards Gan', 'Kultainen Venla Gan', 'Contribuir a esta página ir ']"
1,Minna Haapkylä,1973,"['Kuulustelu', 'Lapsia ja aikuisia - kuinka niitä tehdään?', 'Kuutamolla', 'Rakkaudella, Maire']","['Reparto', 'Producción', 'Dirección']","['Berlin International Film Festival Gan', 'Festróia - Tróia International Film Festival Gan', 'Jussi Awards Nom', 'Nordic Council Nom']"
2,Clive Russell,1945,"['Sherlock Holmes', 'El hombre lobo', 'El rey Arturo', 'Neverwhere', '1996 • 6 episodios']","['Reparto', 'Banda sonora']","['Genie Awards Nom', 'Festival of Cinema NYC Nom', 'Contribuir a esta página ir ']"
3,Graham McTavish,1961,"['El hobbit: Un viaje inesperado', 'El hobbit: La desolación de Smaug', 'John Rambo', 'El hobbit: La batalla de los cinco ejércitos']","['Reparto', 'Producción', 'Dirección']","['CinEuphoria Awards Nom', 'Online Film & Television Association Nom', 'Behind the Voice Actors Awards Nom', 'Voice Arts Awards Gan', 'Pena de Prata Nom']"
4,Hugh Jackman,1968,"['Los miserables', 'Logan', 'X-Men', 'X-Men orígenes: Lobezno']","['Reparto', 'Producción', 'Equipo ejecutivo']","['Academy Awards USA Nom', 'Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Film Critics Circle of Australia Awards Gan', 'Australian Film Institute Nom', 'Australian Movie Convention Gan']"
5,Dakota Goyo,1999,"['Acero puro', 'Los elegidos (Dark skies)', 'El origen de los guardianes', 'Thor']","['Reparto', 'Especialistas', 'Producción']","['Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Daytime Emmy Awards Nom', 'Young Artist Awards Gan', 'Contribuir a esta página ir ']"
6,Evangeline Lilly,1979,"['El hobbit: La desolación de Smaug', 'Ant-Man', 'Ant-Man y la Avispa', 'El hobbit: La batalla de los cinco ejércitos']","['Reparto', 'Banda sonora']","['Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Critics Choice Awards Nom', 'Golden Globes USA Nom', 'Satellite Awards Nom', 'Gotham Awards Gan']"
7,Anthony Mackie,1978,"['En tierra hostil', 'Destino oculto', 'Capitán América: El Soldado de Invierno', 'Capitán América: Civil War']","['Reparto', 'Producción', 'Dirección']","['Academy of Science Fiction Fantasy & Horror Films USA Nom', 'BET Awards Nom', 'Chicago International Film Festival Gan', 'Gotham Awards Gan', 'Image Awards (NAACP) Nom']"
8,Kevin Durand,1974,"['X-Men orígenes: Lobezno', 'Soy el número cuatro', 'Robin Hood', 'Cerdos salvajes: Con un par... de ruedas']","['Reparto', 'Dirección', 'Guion']","['Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Genie Awards Nom', 'Leo Awards Nom', 'Canadian Screen Awards CA Nom']"
9,Hope Davis,1964,"['American Splendor', 'Synecdoche, New York', 'A propósito de Schmidt', 'Capitán América: Civil War']","['Reparto', 'Banda sonora']","['Chicago Film Critics Association Awards Nom', 'Primetime Emmy Awards Nom', 'Golden Globes USA Nom', 'Satellite Awards Nom', 'Gotham Awards Gan']"
10,James Rebhorn,1948,"['Independence Day', 'The Game', 'El talento de Mr. Ripley', 'Esencia de mujer']",['Reparto'],"['Soap Opera Digest Awards Nom', 'Gold Derby Awards Nom', 'Contribuir a esta página ir ']"
