,0,1,2,3,4
0,Aamu Milonoff,,"['Girl Picture', 'Sisu', 'Padomju dzinsi', '2024 • 2 episodios', 'Sabine KovalainenSabine Kovalainen (2018)']","['Reparto', 'Producción']","['Jussi Awards Nom', 'L.A. Outfest Gan', 'FilmOut San Diego US Gan', 'Girls on Film Awards Nom']"
1,Linnea Skog,,"['Tyttö nimeltä Varpu', 'Habitación 301', '2019 • 5 episodios', '2020', '2020']",['Reparto'],"['Jussi Awards Gan', 'Contribuir a esta página ir ']"
2,Elina Knihtilä,,"['Putoavia enkeleitä', 'Matti', 'Divorcio a la finlandesa', 'Hyvä poika']","['Reparto', 'Guion', 'Diseño de producción']","['Jussi Awards Gan', 'Kultainen Venla Gan', 'Contribuir a esta página ir ']"
3,Juho Milonoff,,"['Tuntematon sotilas', 'Sekunnit', '2024 • 5 episodios', 'Jari Holma', 'Mikko']","['Reparto', 'Guion']",
4,Henry Garrett,,"['Silo', '2023 • 3 episodios', 'Pete McCullough', 'George Catlin', 'Serie de TV']",['Reparto'],
5,James Mapes,,"['¿Quieres que te cuente un secreto?', 'Star Trek: Primer contacto', 'Taxi Driver', 'The Wicker Tree']",['Reparto'],
6,Lesley Mackie,,"['El hombre de mimbre', 'The Wicker Tree', 'A Sense of Freedom', 'The Anatomist']","['Reparto', 'Música']",
7,Bill Murdoch,,"['Braveheart', 'Gangs of New York', 'Dear Green Place', '2007–2008 • 2 episodios', '2013']",['Reparto'],
8,Christopher Fosh,1965,"['Al filo del mañana', 'Bonded by Blood', 'A Day of Violence', 'Ángel']","['Reparto', 'Equipos adicionales', 'Sonido']",
9,Karl Yune,1975,"['Acero puro', 'Anacondas: La cacería por la orquídea sangrienta', 'Speed Racer', 'La invitación']",['Reparto'],
10,Olga Fonda,,"['Agente X', '2015 • 5 episodios', 'Nadia', 'Farra Lemkova']",['Reparto'],
11,Jackson Hurst,,"['La niebla de Stephen King', 'Cleaner', 'A Bird of the Air', 'Heridas abiertas', '2018 • 4 episodios']","['Reparto', 'Producción']","['Online Film & Television Association Nom', 'Contribuir a esta página ir ']"
12,Kaiulani Lee,1950,"['Cujo', 'El mundo según Garp', 'A Civil Action (Acción civil)', 'Relación mortal']","['Reparto', 'Guion', 'Producción']",
13,Rocco Sisto,1953,"['Donnie Brasco', 'Jo, ¡qué noche!', 'Un horizonte muy lejano', 'Frequency']","['Reparto', 'Banda sonora']",
14,Thomas Horn,,"['Tan fuerte, tan cerca', 'Space Warriors', 'Prickly Business', 'A Financial Engagement', '2016']","['Reparto', 'Dirección de la segunda unidad o asistencia a dirección']","['Critics Choice Awards Gan', 'Phoenix Film Critics Society Awards Gan', 'Online Film & Television Association Nom', 'Contribuir a esta página ir ']"
15,Grant Bowler,1968,"['La rebelión de Atlas: 1ª parte', '400 Days', 'Guns Akimbo', 'Asesinos de élite']",['Reparto'],
16,Matthew Marsden,,"['John Rambo', 'Transformers: La venganza de los caídos', 'Resident Evil: Extinción', 'DOA: Dead or Alive']","['Reparto', 'Producción', 'Guion']","['National Television Awards UK Gan', 'International Christian Film Festival Nom', 'Life Fest Film Festival Nom', 'Contribuir a esta página ir ']"
17,Graham Beckel,1949,"['L.A. Confidential', 'Leaving Las Vegas', 'Sicario: El día del soldado', 'Galáctica, estrella de combate', '2005–2006 • 4 episodios']","['Reparto', 'Dirección', 'Música']",
18,Rebecca Wisocky,,"['Criadas y malvadas', '2013–2016 • 49 episodios', 'Brenda Shettrick', 'Serie de TV', '6,6']","['Reparto', 'Equipos adicionales']","['Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Online Film & Television Association Nom', 'Tell-Tale TV Awards Nom', 'Astra Television Awards Nom']"
19,Fabian Carrillo,,"['Double Tap', 'Latin Dragon', 'The Dalhia Knights', 'Brick by Brick']","['Reparto', 'Producción', 'Guion']",
