,Unnamed: 0,0,1,2,3,4
0,0,Baburaj,1970,"['Joji', ""Salt n' Pepper"", 'Black Dhaliya', 'Manushya Mrugam']","['Reparto', 'Guion', 'Dirección']","['South Indian International Movie Awards Gan', 'Vanitha Film Awards Gan', 'Contribuir a esta página ir ']"
1,1,Lal,1958,"['Hera Pheri', 'Ponniyin Selvan: Part One', 'Godfather', ""Salt n' Pepper""]","['Reparto', 'Guion', 'Producción']","['Kerala State Film Awards Gan', 'South Indian International Movie Awards Nom', 'Vanitha Film Awards Gan', 'Contribuir a esta página ir ']"
2,2,Lenaa,1981,"['Aadhi', 'Ennu Ninte Moideen', 'Airlift', 'Kanyaka Talkies']","['Reparto', 'Guion']","['Asianet Film Awards Gan', 'Kerala State Film Awards Gan', 'Filmfare Awards South Nom', 'South Indian International Movie Awards Gan', 'Vanitha Film Awards Gan']"
3,3,Al Weaver,1981,"['Colette', 'Press', '2018 • 6 episodios', '2018', '2005']","['Reparto', 'Dirección', 'Producción']","['Behind the Voice Actors Awards Nom', 'Contribuir a esta página ir ']"
4,4,Sinead Matthews,1980,"['Pride & Prejudice (Orgullo y prejuicio)', 'Radio encubierta', 'El secreto de Vera Drake', 'Mr. Turner']",['Reparto'],"['Edinburgh International Film Festival Gan', 'National Film Awards UK Nom', 'Contribuir a esta página ir ']"
5,5,James Maslow,1990,"['Big Time Rush', '2009–2013 • 73 episodios', 'James Diamond', 'Great Scott', 'Serie de TV']","['Reparto', 'Producción', 'Música']","[""Kids' Choice Awards USA Gan"", 'Method Fest Nom', 'Young Artist Awards Nom', 'Young Hollywood Awards Nom', 'Fangoria Chainsaw Awards Nom']"
6,6,Ciara Hanna,1991,"['Stars Fell on Alabama', 'Power Rangers Megaforce', '2013–2014 • 42 episodios', '2014', '2023']",['Reparto'],"['Underground Monster Carnival Gan', 'Hollywood Blood Horror Festival Gan', 'Contribuir a esta página ir ']"
7,7,Zebedee Row,1988,"['Vinyl', '2016 • 1 episodio', '2022', '2021']","['Reparto', 'Música', 'Banda sonora']","['The Florida Comedy Film Festival Gan', 'Contribuir a esta página ir ']"
8,8,Jaclyn Betham,1986,"['NCIS: Nueva Orleans', '2018 • 1 episodio', 'Amanda Cryer', 'Serie de TV', '4,3']","['Reparto', 'Especialistas', 'Guion']","['Idyllwild International Festival of Cinema Nom', 'Contribuir a esta página ir ']"
9,9,Liza Lapira,1981,"['21: Black Jack', 'Crazy, Stupid, Love.', 'Fast & Furious: Aún más rápido', 'Domino']","['Reparto', 'Producción', 'Banda sonora']","['ShoWest Convention USA Gan', 'Contribuir a esta página ir ']"
10,10,Dante Basco,1975,"['Hook (El capitán Garfio)', ""But I'm a Cheerleader"", 'Déjate llevar', 'Hang Loose']","['Reparto', 'Producción', 'Guion']","['Young Artist Awards Gan', 'VC FilmFest - Los Angeles Asian Pacific Film Festival Gan', 'Queens World Film Festival Gan', 'Glendale International Film Festival Gan', 'National Film Society Awards Gan']"
11,11,Dionysio Basco,1977,"['Dahmer, el carnicero de Milwaukee', 'The Head Thieves', 'American Sicario', ""3's a Couple""]","['Reparto', 'Dirección', 'Producción']","['Los Angeles Philippine Film Festival Gan', 'Contribuir a esta página ir ']"
12,12,Tirso Cruz III,1952,"['Bilangin ang bituin sa langit', 'Kahit buhay ko...', 'Honor Thy Father', 'Sigwa']","['Reparto', 'Banda sonora']","['FAP Awards Philippines Nom', 'FAMAS Awards Nom', 'Gawad Urian Awards Nom', 'Metro Manila Film Festival Nom', 'Star Awards for Movies Nom']"
13,13,Kriti Sanon,1990,"['Dilwale', 'Mimi', 'Bareilly Ki Barfi', 'Heropanti']","['Reparto', 'Producción', 'Publicista']","['Filmfare Awards Gan', 'Awards of the International Indian Film Academy Gan', 'Zee Cine Awards Nom', 'National Film Awards India Gan', 'Apsara Film Producers Guild Awards Gan']"
14,14,Pankaj Tripathi,1976,"['Gangs of Wasseypur', 'Stree', 'Gunjan Saxena: La chica de Kargil', 'Ludo']",['Reparto'],"['Filmfare Awards Nom', 'Awards of the International Indian Film Academy Nom', 'Zee Cine Awards Nom', 'National Film Awards India Gan', 'Indian Television Academy Awards India Nom']"
15,15,Sai Tamhankar,1986,"['Mimi', 'Ghajini', 'Pondicherry', 'Dhurala']",['Reparto'],"['Filmfare Awards Gan', 'Awards of the International Indian Film Academy Gan', 'Indian Television Academy Awards India Nom', 'Filmfare Awards Marathi Nom', 'IWM Digital Awards Nom']"
16,16,Manoj Pahwa,1963,"['Article 15', 'Mulk', 'Wanted', 'Mimi']",['Reparto'],"['Filmfare Awards Nom', 'Awards of the International Indian Film Academy Nom', 'Zee Cine Awards Gan', 'Screen Awards IN Nom', 'Indian Telly Awards Nom']"
17,17,Supriya Pathak,1961,"['Goliyon Ki Raasleela Ram-leela', 'Wake Up Sid', 'Mimi', 'Kalyug']","['Reparto', 'Producción']","['Filmfare Awards Nom', 'Awards of the International Indian Film Academy Nom', 'Zee Cine Awards Gan', 'Apsara Film Producers Guild Awards Gan', 'Indian Television Academy Awards India Gan']"
18,18,Francesca Reale,1994,"['Revancha ya', 'Stranger Things', '2019 • 6 episodios', '2022', 'Emily']","['Reparto', 'Producción', 'Vestuario']","['Screen Actors Guild Awards Nom', 'Contribuir a esta página ir ']"
19,19,Jerry Ferrara,1979,"['Entourage (El séquito)', '2004–2011 • 96 episodios', '2013', '2015', '2012']","['Reparto', 'Producción', 'Guion']","['Screen Actors Guild Awards Nom', 'Teen Choice Awards Nom', 'National Film and Television Awards USA Nom', 'Contribuir a esta página ir ']"
20,20,Richard Jenkins,1947,"['La forma del agua', 'The visitor', 'Hermanos por pelotas', 'Quemar después de leer']","['Reparto', 'Producción', 'Banda sonora']","['Academy Awards USA Nom', 'Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Boston Society of Film Critics Awards Nom', 'Breckenridge Festival of Film Gan', 'Critics Choice Awards Nom']"
21,21,Jayne Houdyshell,1953,"['Solo asesinatos en el edificio', '2021–2023 • 14 episodios', '2021', '2019', '2022']","['Reparto', 'Banda sonora']","['Screen Actors Guild Awards Nom', 'Online Film & Television Association Nom', 'International Online Cinema Awards (INOCA) Nom', 'Gold Derby Awards Nom', 'Pena de Prata Nom']"
22,22,Amy Schumer,1981,"['Y de repente tú', 'Descontroladas', 'Inside Amy Schumer', '2013–2022 • 44 episodios', '2018']","['Guion', 'Reparto', 'Producción']","['American Comedy Awards USA Nom', 'Critics Choice Awards Gan', 'Chicago Film Critics Association Awards Nom', 'Directors Guild of America USA Nom', 'Primetime Emmy Awards Nom']"
