,0,1,2,3,4
0,Movie,Tekken,2010.0,3.0,tt0411951
1,Movie,Venus & Vegas,2010.0,11.0,tt0423474
2,Movie,The A-Team,2010.0,6.0,tt0429493
3,Movie,Segurança Nacional,2010.0,5.0,tt0439801
4,Movie,Scott Pilgrim vs. the World,2010.0,11.0,tt0446029
5,Movie,Taken by Force,2010.0,,tt0465637
6,Movie,"Guns, Drugs and Dirty Money",2011.0,,tt0464032
7,Movie,Komaram Puli,2010.0,9.0,tt0464162
8,Movie,Prince of Persia: The Sands of Time,2010.0,5.0,tt0473075
9,Movie,Unstoppable,2010.0,12.0,tt0477080
10,Movie,The Losers,2010.0,4.0,tt0480255
11,Movie,Clash of the Titans,2010.0,4.0,tt0800320
12,Movie,Cross the Line,2010.0,11.0,tt0810815
13,Movie,Gangster Exchange,2010.0,2.0,tt0846004
14,Movie,Zenitram,2010.0,5.0,tt0861747
15,Movie,How to Train Your Dragon,2010.0,3.0,tt0892769
16,Short,Red Princess Blues,2010.0,,tt0903012
17,Movie,Westbrick Murders,2010.0,5.0,tt0903036
18,Movie,House Under Siege,2010.0,3.0,tt0914823
19,Movie,The Dead Undead,2010.0,5.0,tt0923653
20,Movie,The Waiter,2010.0,3.0,tt0934981
21,Movie,The Last Airbender,2010.0,8.0,tt0938283
22,Movie,Salt,2010.0,8.0,tt0944835
23,Movie,Green Zone,2010.0,4.0,tt0947810
24,Movie,Robin Hood,2010.0,5.0,tt0955308
25,Movie,Private Security Officer: Los Angeles,2010.0,12.0,tt0960827
26,Movie,The Sorcerer's Apprentice,2010.0,7.0,tt0963966
27,Movie,The Fighter,2011.0,3.0,tt0964517
28,Movie,White Wall,2010.0,5.0,tt0969653
29,Movie,Headhunter: The Assessment Weekend,2010.0,8.0,tt0973809
30,Movie,Sinatra Club,2010.0,9.0,tt0975738
31,Movie,Boyle Heights,2011.0,,tt0977639
32,Movie,Machete,2010.0,9.0,tt0985694
33,Movie,Adventure Scouts,2010.0,10.0,tt0994917
34,Short,Desprotegido,2010.0,2.0,tt10010312
35,Movie,Megamind,2010.0,12.0,tt1001526
36,Short,Tough,2010.0,12.0,tt10028634
37,Short,Immortality League,2010.0,10.0,tt10061904
38,Movie,He - The Only One,2010.0,,tt10087304
39,Movie,Knight and Day,2010.0,7.0,tt1013743
40,Movie,Dylan Dog: Dead of Night,2011.0,4.0,tt1013860
41,Movie,Deal,2010.0,,tt1020011
42,Movie,Centurion,2010.0,5.0,tt1020558
43,Movie,Kill Speed,2012.0,6.0,tt1027683
