0,1,2,3,4,5
0.0,Seth Rogen,1982,"['This Is the End', 'Superbad', 'Pineapple Express', 'Sausage Party']","['Producer', 'Actor', 'Writer']","['American Comedy Awards USA Nom', 'Annie Awards Nom', 'Canadian Comedy Awards Win', 'Primetime Emmy Awards Nom', 'Golden Globes USA Nom']"
1.0,Jay Chou,1979,"['The Green Hornet', 'Curse of the Golden Flower', 'Initial D', 'Fearless']","['Actor', 'Music Department', 'Director']","['Asia-Pacific Film Festival Nom', 'Golden Bauhinia Awards Nom', 'Golden Horse Film Festival Nom', 'Hong Kong Film Awards Nom', 'Hundred Flowers Awards Nom']"
2.0,Cameron Diaz,1972,"['Vanilla Sky', ""There's Something About Mary"", ""Charlie's Angels"", ""My Best Friend's Wedding""]","['Actress', 'Producer', 'Soundtrack']","['Academy of Science Fiction Fantasy & Horror Films USA Nom', 'ALMA Awards Nom', 'American Comedy Awards USA Nom', 'Annie Awards Nom', 'Blockbuster Entertainment Awards Win']"
3.0,Tom Wilkinson,1948,"['Michael Clayton', 'In the Bedroom', 'The Full Monty', 'The Grand Budapest Hotel']","['Actor', 'Soundtrack']","['Academy Awards USA Nom', 'Film Critics Circle of Australia Awards Nom', 'BAFTA Awards Nom', 'British Independent Film Awards Nom', 'Critics Choice Awards Nom']"
4.0,Christoph Waltz,1956,"['Django Unchained', 'Inglourious Basterds', 'The Zero Theorem', 'Carnage']","['Actor', 'Producer', 'Director']","['Academy Awards USA Win', 'Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Grimme Award Win', 'Baden-Baden TV Film Festival Win', 'Bambi Awards Win']"
5.0,David Harbour,1975,"['Hellboy', 'Revolutionary Road', 'Black Widow', 'Suicide Squad']","['Actor', 'Producer', 'Soundtrack']","['Critics Choice Awards Win', 'Primetime Emmy Awards Nom', 'Golden Globes USA Nom', 'Palm Springs International Film Festival Win', 'Razzie Awards Nom']"
6.0,Edward James Olmos,1947,"['Battlestar Galactica', '2004–2009 • 74 eps', '1997', '1988', '1982']","['Actor', 'Producer', 'Director']","['Academy Awards USA Nom', 'Academy of Science Fiction Fantasy & Horror Films USA Nom', 'ALMA Awards Win', 'Arizona International Film Festival Win', 'Directors Guild of America USA Nom']"
7.0,Chad L. Coleman,1974,"['Left 4 Dead 2', '2009', ""Dennis 'Cutty' Wise"", 'Duane Mitchell', 'TV Series']","['Actor', 'Art Department', 'Producer']","['Northeast Film Festival US Win', 'CinEuphoria Awards Win', 'NAVGTR Awards Nom', 'Sutter Creek International Film Festival Nom', 'Black Reel Awards for Television Win']"
8.0,Edward Furlong,1977,"['Terminator 2: Judgment Day', 'Detroit Rock City', 'American History X', 'The Green Hornet']","['Actor', 'Producer', 'Soundtrack']","['Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Film Independent Spirit Awards Nom', 'MTV Movie + TV Awards Win', 'Young Artist Awards Nom', 'Hoboken International Film Festival Nom']"
9.0,Adam Sandler,1966,"['The Waterboy', 'Little Nicky', 'The Wedding Singer', 'Big Daddy']","['Actor', 'Producer', 'Writer']","['American Comedy Awards USA Nom', 'Annie Awards Nom', 'Blockbuster Entertainment Awards Win', 'Boston Society of Film Critics Awards Win', 'Critics Choice Awards Nom']"
10.0,Al Pacino,1940,"['Serpico', 'Dog Day Afternoon', 'The Godfather', 'Dick Tracy']","['Actor', 'Director', 'Producer']","['Academy Awards USA Nom', 'Academy of Science Fiction Fantasy & Horror Films USA Nom', 'American Comedy Awards USA Win', 'American Film Institute USA Win', 'Blockbuster Entertainment Awards Nom']"
11.0,Katie Holmes,1978,"['Batman Begins', 'Jack and Jill', ""Dawson's Creek"", '1998–2003 • 128 eps', '2004']","['Actress', 'Producer', 'Director']","['Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Camerimage Nom', 'Satellite Awards Nom', 'MTV Movie + TV Awards Nom', 'Razzie Awards Nom']"
12.0,Eugenio Derbez,1962,"['Instructions Not Included', 'Dora and the Lost City of Gold', 'Overboard', 'How to Be a Latin Lover']","['Actor', 'Producer', 'Writer']","['Daytime Emmy Awards Nom', 'Imagen Foundation Awards Nom', 'Mexican Cinema Journalists Win', 'Screen Actors Guild Awards Win', 'Teen Choice Awards Nom']"
13.0,David Spade,1964,"['Joe Dirt', 'Tommy Boy', 'The Benchwarmers', ""The Emperor's New Groove""]","['Actor', 'Writer', 'Producer']","['American Comedy Awards USA Nom', 'Primetime Emmy Awards Nom', 'Golden Globes USA Nom', ""Kids' Choice Awards USA Nom"", 'MTV Movie + TV Awards Win']"
14.0,Nick Swardson,1976,"[""Grandma's Boy"", 'Just Go with It', 'The Benchwarmers', 'Jack and Jill']","['Actor', 'Writer', 'Producer']","['Razzie Awards Nom', 'Behind the Voice Actors Awards Nom']"
15.0,Tim Meadows,1961,"['Mean Girls', ""The Ladies' Man"", 'Popstar: Never Stop Never Stopping', 'Walk Hard: The Dewey Cox Story']","['Actor', 'Writer', 'Camera and Electrical Department']","['Primetime Emmy Awards Nom', 'Writers Guild of America USA Win', 'CinEuphoria Awards Win', 'The Streamy Awards Win', 'The Ambies Win']"
16.0,Allen Covert,1964,"[""Grandma's Boy"", '50 First Dates', 'The Wedding Singer', 'Jack and Jill']","['Actor', 'Producer', 'Writer']",['Razzie Awards Nom']
