,0,1,2,3,4,5,6,7
0,6.7,49%,Joe Carnahan,Joe Carnahan,"A group of Iraq War veterans look to clear their name with the U.S. Military, who suspect the four men of committing a crime for which they were framed.","Action
Adventure
Crime",1h 57m,The A-Team
1,6.6,36%,Mike Newell,Boaz Yakin,A young fugitive prince and princess must stop a villain who unknowingly threatens to destroy the world with a special dagger that enables the magic sand inside to reverse time.,"Action
Adventure
Fantasy",1h 56m,Prince of Persia: The Sands of Time
2,6.8,87%,Tony Scott,Mark Bomback,"With an unmanned, half-mile-long freight train barreling toward a city, a veteran engineer and a young conductor race against the clock to prevent a catastrophe.","Action
Thriller",1h 38m,Unstoppable
3,6.2,48%,Sylvain White,Peter Berg,"A CIA special forces team is betrayed and left for dead by their superiors, galvanizing them to mount an offensive on the CIA.","Action
Adventure
Comedy",1h 37m,The Losers
4,5.8,27%,Louis Leterrier,Travis Beacham,"Perseus, a demigod and the son of Zeus, battles the minions of Hades and the Underworld in order to stop them from conquering Olympus and Earth.","Action
Adventure
Fantasy",1h 46m,Clash of the Titans
5,4.0,80%,Mark Hazen Kelly,Mark Hazen Kelly,Two young boys and a girl commit a diamond robbery on Halloween. During escape the girl is fatally shot. One of the boys knows a doctor (Jeremy London) who has a private clinic in his house. They decide to go to his house instead of the hospital where they will expect the police. They enter the house quietly with no drama. But when the doctor tells them she needs an a... Read all,Thriller,1h 18m,House Under Siege
6,4.0,5%,M. Night Shyamalan,M. Night Shyamalan,"Aang, a young successor to a long line of Avatars, must master all four elements and stop the Fire Nation from enslaving the Water Tribes and the Earth Kingdom.","Action
Adventure
Family",1h 43m,The Last Airbender
7,6.5,62%,Phillip Noyce,Kurt Wimmer,A CIA agent goes on the run after a defector accuses her of being a Russian spy.,"Action
Thriller",1h 40m,Salt
8,6.1,40%,Jon Turteltaub,Lawrence Konner,A protege of the magician Merlin must train his teacher's successor - an introverted but resourceful physics prodigy - in the art of sorcery to prevent the return of Morgana le Fay.,"Action
Adventure
Family",1h 49m,The Sorcerer's Apprentice
9,6.2,33%,Sngmoo Lee,Sngmoo Lee,A warrior-assassin is forced to hide in a small town in the American Badlands after refusing a mission.,"Action
Drama
Fantasy",1h 40m,The Warrior's Way
10,6.8,47%,Albert Hughes,Gary Whitta,"A drifter fights his way across a ravaged, post-apocalyptic America while protecting a sacred book that holds the secrets to humanity's salvation.","Action
Adventure
Drama",1h 58m,The Book of Eli
11,5.3,20%,Scott Stewart,Peter Schink,"When a group of strangers at a dusty roadside diner come under attack by demonic forces, their only chance for survival lies with an archangel named Michael, who informs a pregnant waitress that her unborn child is humanity's last hope.","Action
Fantasy
Horror",1h 40m,Legion
12,4.1,0%,Andrey Konchalovskiy,Andrey Konchalovskiy,"In 1920s Vienna, a young girl receives a magical doll on Christmas Eve.","Action
Family
Fantasy",1h 50m,The Nutcracker: The Untold Story
13,6.3,21%,Miguel Sapochnik,Eric Garcia,"Set in the near future when artificial organs can be bought on credit, it revolves around a man who struggles to make the payments on a heart he has purchased. He must therefore go on the run before said ticker is repossessed.","Action
Sci-Fi
Thriller",1h 51m,Repo Men
14,4.7,12%,Jimmy Hayward,Mark Neveldine,"In exchange for his freedom, bounty hunter Jonah Hex must track down a terrorist with a superweapon.","Action
Drama
Fantasy",1h 21m,Jonah Hex
15,5.8,80%,Chris D'Arienzo,Chris D'Arienzo,"Barry Munday wakes up after being attacked to realize that he's missing his family jewels. To make matters worse, he learns he's facing a paternity lawsuit filed by a woman he can't remember having sex with.","Comedy
Drama
Romance",1h 35m,Family Jewels
16,6.5,70%,Elizabeth Allen Rosenbaum,Laurie Craig,"An adventurous young girl uses her imagination to escape her reality, that is quickly spinning out of reach.","Comedy
Drama
Family",1h 44m,Ramona and Beezus
17,6.7,49%,Edward Zwick,Charles Randolph,"In 1990s Pittsburgh, a medicine peddler starts a relationship with a young woman suffering from Parkinson's disease.","Comedy
Drama
Romance",1h 52m,Love & Other Drugs
18,6.2,80%,Tanya Hamilton,Tanya Hamilton,"In 1976, complex political and emotional forces are set in motion when a young man returns to the race-torn Philadelphia neighborhood where he came of age during the Black Power movement.","Drama
Romance",1h 30m,Night Catches Us
19,5.8,33%,Joe Johnston,Andrew Kevin Walker,"Upon his return to his ancestral homeland, an American man is bitten and subsequently cursed by a werewolf.","Drama
Fantasy
Horror",1h 43m,The Wolfman
20,6.0,7%,Géla Babluani,Géla Babluani,"A naive young man assumes a dead man's identity and finds himself embroiled in an underground world of power, violence, and chance where men gamble behind closed doors on the lives of other men.","Crime
Drama
Thriller",1h 31m,13
21,7.7,55%,Rob Reiner,Rob Reiner,Two eighth-graders start to have feelings for each other despite being total opposites.,"Comedy
Drama
Romance",1h 30m,Flipped
22,7.0,93%,Lisa Cholodenko,Lisa Cholodenko,Two children conceived by artificial insemination bring their biological father into their non-traditional family life.,"Comedy
Drama
Romance",1h 46m,The Kids Are All Right
23,7.5,92%,Ben Affleck,Peter Craig,A proficient group of thieves rob a bank and hold an assistant manager hostage. Things begin to get complicated when one of the crew members falls in love with her.,"Crime
Drama
Thriller",2h 5m,The Town
24,6.1,53%,Josh Gordon,Jeffrey Eugenides,"Seven years after the fact, a man comes to the realization that he was the sperm donor for his best friend's boy.","Comedy
Drama
Romance",1h 41m,The Switch
25,6.5,42%,Gary Winick,Jose Rivera,"Sophie travels to Verona where she finds an old unanswered letter asking for love advice. She answers it and when the recipient shows up along with her grumpy grandson, they head off to find the old long lost love while a young love sparks","Adventure
Comedy
Drama",1h 45m,Letters to Juliet
26,7.1,76%,Larysa Kondracki,Larysa Kondracki,"A drama based on the experiences of Kathryn Bolkovac, a Nebraska cop who served as a peacekeeper in post-war Bosnia and outed the U.N. for covering up a sex trafficking scandal.","Biography
Crime
Drama",1h 52m,The Whistleblower
27,6.1,0%,Il Lim,Il Lim,A man named Flyn (Il Lim) is on a mission to kill the men who raped his wife Olivia (Leelee Sobieski). Flyn will have a double life as a killer and as a husband.,Crime,R,Acts of Violence
28,5.2,94%,Antoine Blossier,Antoine BlossierErich Vogel,"PREY tells the story of Nathan (BEAU TRAVAIL'S Gregoire Colin) who is at a countryside retreat for a Fall family reunion that he expects to be particularly stormy. Claire, his wife, has to announce her pregnancy and there are tough decisions that need to be made to prevent the family's pesticides business from closing down. But on the first night that the family gathe... Read all",Adventure,1h 30m,Prey
29,7.0,87%,John Cameron Mitchell,David Lindsay-Abaire,Life for a happy couple is turned upside down after their young son dies in an accident.,Drama,1h 31m,Rabbit Hole
30,8.0,85%,Darren Aronofsky,Mark Heyman,"Nina is a talented but unstable ballerina on the verge of stardom. Pushed to the breaking point by her artistic director and a seductive rival, Nina's grip on reality slips, plunging her into a waking nightmare.","Drama
Thriller",1h 48m,Black Swan
31,6.1,56%,Michael Winterbottom,John Curran,A West Texas Deputy Sheriff is slowly unmasked as a psychotic killer.,"Crime
Drama
Mystery",1h 49m,The Killer Inside Me
32,6.6,44%,Ridley Scott,Brian Helgeland,"In twelfth-century England, Robin Longstride and his band of marauders confront corruption in a local village and lead an uprising against the crown that will forever alter the balance of world power.","Action
Adventure
Drama",2h 20m,Robin Hood
33,7.8,91%,David O. Russell,Scott Silver,"Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness.","Action
Biography
Drama",1h 56m,The Fighter
34,6.9,56%,Robert Redford,James D. Solomon,"Mary Surratt is the lone female charged as a co-conspirator in the assassination trial of Abraham Lincoln. As the whole nation turns against her, she is forced to rely on her reluctant lawyer to uncover the truth and save her life.","Crime
Drama
History",2h 2m,The Conspirator
35,4.5,75%,Rob Schneider,Boon Collins,A man finally finds faith in himself after the rest of world puts its faith in him; the sole being on earth who can save mankind from its own destruction - The Chosen One.,"Comedy
Drama",PG-13,The Chosen One
36,6.8,79%,Doug Liman,Jez Butterworth,CIA operative Valerie Plame discovers her identity is allegedly leaked by the government as payback for an op-ed article her husband wrote criticizing the Bush administration.,"Biography
Drama
Thriller",1h 48m,Fair Game
37,4.7,9%,Brooks Branch,Brooks Branch,"NYC, 1979: Gabriel and Annie's marriage is falling apart with only their daughter holding it together. Gabriel quits his architect job to become a playwright, writing about his life. Annie and Liz leave.","Comedy
Drama
Romance",1h 37m,Multiple Sarcasms
38,6.4,72%,Paul T. Scheuring,Paul T. Scheuring,26 men are chosen to participate in the roles of guards and prisoners in a psychological study that ultimately spirals out of control.,"Drama
Thriller",1h 36m,The Experiment
39,6.0,44%,Jon Favreau,Roberto Orci,"A spaceship arrives in 1873 Arizona to take over the Earth, starting with the Wild West region. All that stands in their way: a posse of cowboys and natives.","Action
Drama
Sci-Fi",1h 59m,Cowboys & Aliens
40,6.9,80%,Joe Johnston,Christopher Markus,"Steve Rogers, a rejected military soldier, transforms into Captain America after taking a dose of a ""Super-Soldier serum"". But being Captain America comes at a price as he attempts to take down a warmonger and a terrorist organization.","Action
Adventure
Sci-Fi",2h 4m,Captain America: The First Avenger
41,6.5,53%,Simon West,Richard Wenk,An elite hitman teaches his trade to an apprentice who has a connection to one of his previous victims.,"Action
Crime
Thriller",1h 33m,The Mechanic
42,5.4,11%,Dominic Sena,Bragi F. Schut,"14th-century knights transport a suspected witch to a monastery, where monks deduce that her powers could be the source of the Black Plague.","Action
Adventure
Fantasy",1h 35m,Season of the Witch
43,7.0,77%,Kenneth Branagh,Ashley Miller,"The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.","Action
Fantasy",1h 55m,Thor
44,5.1,67%,Marcus Nispel,Thomas Dean Donnelly,A vengeful barbarian warrior sets off to get his revenge on the evil warlord who attacked his village and murdered his father when he was a boy.,"Action
Adventure
Fantasy",1h 53m,Conan the Barbarian
45,5.7,15%,Scott Stewart,Cory Goodman,A warrior priest disobeys church law to track down a pack of vampires who have kidnapped his niece.,"Action
Fantasy
Horror",1h 27m,Priest
46,6.1,61%,Kevin Smith,Kevin Smith,"Set in Middle America, a group of teens receive an online invitation for sex, though they soon encounter fundamentalists with a much more sinister agenda.","Action
Horror
Thriller",1h 28m,Red State
47,6.1,22%,Zack Snyder,Zack Snyder,A young girl institutionalized by her abusive stepfather retreats to an alternative reality as a coping strategy and envisions a plan to help her escape.,"Action
Adventure
Fantasy",1h 50m,Sucker Punch
48,7.3,75%,Steven Spielberg,Hergé,Intrepid reporter Tintin and Captain Haddock set off on a treasure hunt for a sunken ship commanded by Haddock's ancestor.,"Animation
Action
Adventure",1h 47m,The Adventures of Tintin: The Secret of the Unicorn
49,6.2,39%,Kevin Macdonald,Jeremy Brock,"In Roman-ruled Britain, a young Roman soldier endeavors to honor his father's memory by finding his lost legion's golden emblem.","Action
Adventure
Drama",1h 54m,The Eagle
50,4.3,19%,Mark Neveldine,Scott M. Gimple,"Johnny Blaze, tortured by the Ghost Rider's curse, gets a chance of redemption through protecting the Devil's son, whose father is pursuing him.","Action
Fantasy
Thriller",1h 36m,Ghost Rider: Spirit of Vengeance
51,4.9,11%,Chris Gorak,Jon Spaihts,"In Moscow, five young people lead the charge against an alien race who have attacked Earth via our power supply.","Action
Adventure
Horror",1h 29m,The Darkest Hour
52,5.5,25%,Martin Campbell,Greg Berlanti,"Reckless test pilot Hal Jordan is granted an alien ring that bestows him with otherworldly powers that inducts him into an intergalactic police force, the Green Lantern Corps.","Action
Adventure
Sci-Fi",1h 54m,Green Lantern
53,6.1,29%,Roger Donaldson,Todd Hickey,"After his wife is assaulted, a husband enlists the services of a vigilante group to help him settle the score. Then he discovers they want a 'favor' from him in return.","Action
Crime
Drama",1h 45m,Justice
